,budget,genres,id,keywords,original_language,release_date,revenue,runtime,title,Male_lead,Female_lead,Director,screenplay,writer,Music_director
0,237000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",19995,culture clash.future.space war.space colony.society.space travel.futuristic.romance.space.alien.tribe.alien planet.cgi.marine.soldier.battle.love affair.anti war.power relations.mind and soul.3d,en,2009-12-10,2787965087,162.0,Avatar,Sam Worthington,Zoe Saldana,James Cameron,James Cameron,James Cameron,James Horner
1,300000000,"['Adventure', 'Fantasy', 'Action']",285,ocean.drug abuse.exotic island.east india trading company.love of one's life.traitor.shipwreck.strong woman.ship.alliance.calypso.afterlife.fighter.pirate.swashbuckler.aftercreditsstinger,en,2007-05-19,961000000,169.0,Pirates of the Caribbean: At World's End,Johnny Depp,Keira Knightley,Gore Verbinski,Ted Elliott,,Hans Zimmer
2,245000000,"['Action', 'Adventure', 'Crime']",206647,spy.based on novel.secret agent.sequel.mi6.british secret service.united kingdom,en,2015-10-26,880674609,148.0,Spectre,Daniel Craig,Léa Seydoux,Sam Mendes,John Logan,,Thomas Newman
3,250000000,"['Action', 'Crime', 'Drama', 'Thriller']",49026,dc comics.crime fighter.terrorist.secret identity.burglar.hostage drama.time bomb.gotham city.vigilante.cover-up.superhero.villainess.tragic hero.terrorism.destruction.catwoman.cat burglar.imax.flood.criminal underworld.batman,en,2012-07-16,1084939099,165.0,The Dark Knight Rises,Christian Bale,Anne Hathaway,Christopher Nolan,Christopher Nolan,,Hans Zimmer
4,260000000,"['Action', 'Adventure', 'Science Fiction']",49529,based on novel.mars.medallion.space travel.princess.alien.steampunk.martian.escape.edgar rice burroughs.alien race.superhuman strength.mars civilization.sword and planet.19th century.3d,en,2012-03-07,284139100,132.0,John Carter,Taylor Kitsch,Lynn Collins,Andrew Stanton,Andrew Stanton,,
5,258000000,"['Fantasy', 'Action', 'Adventure']",559,dual identity.amnesia.sandstorm.love of one's life.forgiveness.spider.wretch.death of a friend.egomania.sand.narcism.hostility.marvel comic.sequel.superhero.revenge,en,2007-05-01,890871626,139.0,Spider-Man 3,Tobey Maguire,Kirsten Dunst,Sam Raimi,Sam Raimi,,Christopher Young
6,260000000,"['Animation', 'Family']",38757,hostage.magic.horse.fairy tale.musical.princess.animation.tower.blonde woman.selfishness.healing power.based on fairy tale.duringcreditsstinger.healing gift.animal sidekick,en,2010-11-24,591794936,100.0,Tangled,Zachary Levi,Mandy Moore,Byron Howard,Dan Fogelman,,Alan Menken
7,280000000,"['Action', 'Adventure', 'Science Fiction']",99861,marvel comic.sequel.superhero.based on comic book.vision.superhero team.duringcreditsstinger.marvel cinematic universe.3d,en,2015-04-22,1405403694,141.0,Avengers: Age of Ultron,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,,Joss Whedon,Danny Elfman
8,250000000,"['Adventure', 'Fantasy', 'Family']",767,witch.magic.broom.school of witchcraft.wizardry.apparition.teenage crush.werewolf,en,2009-07-07,933959197,153.0,Harry Potter and the Half-Blood Prince,Daniel Radcliffe,Emma Watson,David Yates,Steve Kloves,,Nicholas Hooper
9,250000000,"['Action', 'Adventure', 'Fantasy']",209112,dc comics.vigilante.superhero.based on comic book.revenge.super powers.clark kent.bruce wayne.dc extended universe,en,2016-03-23,873260194,151.0,Batman v Superman: Dawn of Justice,Ben Affleck,Gal Gadot,Zack Snyder,David S. Goyer,,Hans Zimmer
10,270000000,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",1452,saving the world.dc comics.invulnerability.sequel.superhero.based on comic book.kryptonite.super powers.superhuman strength.lex luthor,en,2006-06-28,391081192,154.0,Superman Returns,Brandon Routh,Kate Bosworth,Bryan Singer,Michael Dougherty,,John Ottman
11,200000000,"['Adventure', 'Action', 'Thriller', 'Crime']",10764,killing.undercover.secret agent.british secret service,en,2008-10-30,586090727,106.0,Quantum of Solace,Daniel Craig,Olga Kurylenko,Marc Forster,Paul Haggis,,
12,200000000,"['Adventure', 'Fantasy', 'Action']",58,witch.fortune teller.bondage.exotic island.monster.captain.card game.east india trading company.compass.ship.daughter.pirate.swashbuckler.aftercreditsstinger,en,2006-06-20,1065659812,151.0,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp,Keira Knightley,Gore Verbinski,Ted Elliott,,Hans Zimmer
13,255000000,"['Action', 'Adventure', 'Western']",57201,texas.horse.survivor.texas ranger.partner.outlaw.escape.lawyer.train.lone ranger.comanche.the lone ranger.tonto,en,2013-07-03,89289910,149.0,The Lone Ranger,Johnny Depp,Helena Bonham Carter,Gore Verbinski,Ted Elliott,,Hans Zimmer
14,225000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",49521,saving the world.dc comics.superhero.based on comic book.superhuman.alien invasion.reboot.super powers.dc extended universe,en,2013-06-12,662845518,143.0,Man of Steel,Henry Cavill,Amy Adams,Zack Snyder,David S. Goyer,,Hans Zimmer
15,225000000,"['Adventure', 'Family', 'Fantasy']",2454,based on novel.fictional place.brother sister relationship.lion.human being.wretch.leap in time.matter of life and death.faith.uncle.narnia.fantasy world,en,2008-05-15,419651413,150.0,The Chronicles of Narnia: Prince Caspian,Ben Barnes,Anna Popplewell,Andrew Adamson,Andrew Adamson,,Harry Gregson-Williams
16,220000000,"['Science Fiction', 'Action', 'Adventure']",24428,new york.shield.marvel comic.superhero.based on comic book.alien invasion.superhero team.aftercreditsstinger.duringcreditsstinger.marvel cinematic universe,en,2012-04-25,1519557910,143.0,The Avengers,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,Joss Whedon,,Alan Silvestri
17,380000000,"['Adventure', 'Action', 'Fantasy']",1865,sea.captain.mutiny.sword.prime minister.sailing.silver.ship.duke.mermaid.pirate.soldier.battle.swashbuckler.aftercreditsstinger.3d,en,2011-05-14,1045713802,136.0,Pirates of the Caribbean: On Stranger Tides,Johnny Depp,Penélope Cruz,Rob Marshall,Ted Elliott,,Hans Zimmer
18,225000000,"['Action', 'Comedy', 'Science Fiction']",41154,time travel.time machine.alien.fictional government agency.seeing the future.changing history,en,2012-05-23,624026776,106.0,Men in Black 3,Will Smith,Emma Thompson,Barry Sonnenfeld,Etan Cohen,Lowell Cunningham,Danny Elfman
19,250000000,"['Action', 'Adventure', 'Fantasy']",122917,corruption.elves.dwarves.orcs.middle-earth (tolkien).hobbit.dragon.battle.unlikely friendship.epic battle.sword and sorcery,en,2014-12-10,956019788,144.0,The Hobbit: The Battle of the Five Armies,Martin Freeman,Evangeline Lilly,Peter Jackson,,Peter Jackson,Howard Shore
20,215000000,"['Action', 'Adventure', 'Fantasy']",1930,loss of father.vigilante.serum.marvel comic.scientific experiment.spider bite.masked vigilante.reboot.super powers.genetic engineering.social outcast.duringcreditsstinger,en,2012-06-27,752215857,136.0,The Amazing Spider-Man,Andrew Garfield,Emma Stone,Marc Webb,Alvin Sargent,,James Horner
21,200000000,"['Action', 'Adventure']",20662,robin hood.archer.knight.sherwood forest.bow and arrow.middle ages.medieval.king of england,en,2010-05-12,310669540,140.0,Robin Hood,Russell Crowe,Cate Blanchett,Ridley Scott,Brian Helgeland,,Marc Streitenfeld
22,250000000,"['Adventure', 'Fantasy']",57158,elves.dwarves.orcs.hobbit.dragon.wizard.sword and sorcery,en,2013-12-11,958400000,161.0,The Hobbit: The Desolation of Smaug,Martin Freeman,Evangeline Lilly,Peter Jackson,Peter Jackson,,Howard Shore
23,180000000,"['Adventure', 'Fantasy']",2268,england.compass.experiment.lordship.uncle.polar bear.orphan.animal.based on young adult novel,en,2007-12-04,372234864,113.0,The Golden Compass,Daniel Craig,Dakota Blue Richards,Chris Weitz,Chris Weitz,,Alexandre Desplat
24,207000000,"['Adventure', 'Drama', 'Action']",254,film business.screenplay.show business.film making.film producer.exotic island.monster.indigenous.ship.dinosaur,en,2005-12-14,550000000,187.0,King Kong,Jack Black,Naomi Watts,Peter Jackson,,,James Newton Howard
25,200000000,"['Drama', 'Romance', 'Thriller']",597,shipwreck.iceberg.ship.panic.titanic.ocean liner.epic.rich woman - poor man.love.disaster.tragic love.class differences.imax.star crossed lovers.steerage.salvage.rich snob.3d.1910s,en,1997-11-18,1845034188,194.0,Titanic,Leonardo DiCaprio,Kate Winslet,James Cameron,James Cameron,,James Horner
26,250000000,"['Adventure', 'Action', 'Science Fiction']",271110,civil war.war.marvel comic.sequel.superhero.based on comic book.imax.aftercreditsstinger.duringcreditsstinger.marvel cinematic universe.3d,en,2016-04-27,1153304495,147.0,Captain America: Civil War,Chris Evans,Scarlett Johansson,Anthony Russo,Christopher Markus,,Henry Jackman
27,209000000,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",44833,fight.u.s. navy.mind reading.hong kong.soccer.scientist.fictional war.naval.armada.battleship.naval combat.jds myoko.lost communication.taser.buoy.communications expert.joint chiefs of staff.crash landing.jet fighter pilot.navy lieutenant.permission to marry.uss john paul jones.based on board game.aftercreditsstinger.mighty mo.uss missouri,en,2012-04-11,303025485,131.0,Battleship,Taylor Kitsch,Rihanna,Peter Berg,Erich Hoeber,,Steve Jablonsky
28,150000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",135397,monster.dna.tyrannosaurus rex.velociraptor.island.sequel.suspense.disaster.escape.dinosaur.amusement park.animal attack.theme park.jurassic park.3d.animal horror,en,2015-06-09,1513528810,124.0,Jurassic World,Chris Pratt,Bryce Dallas Howard,Colin Trevorrow,Rick Jaffa,,Michael Giacchino
29,200000000,"['Action', 'Adventure', 'Thriller']",37724,spy.secret agent.sociopath.killer.art gallery.british secret service.istanbul turkey.imax.uzi.booby trap.impersonating a police officer.macao,en,2012-10-25,1108561013,143.0,Skyfall,Daniel Craig,Judi Dench,Sam Mendes,,John Logan,Thomas Newman
30,200000000,"['Action', 'Adventure', 'Fantasy']",558,dual identity.love of one's life.pizza boy.marvel comic.sequel.superhero.doctor.scientist.tentacle.death.super villain,en,2004-06-25,783766341,127.0,Spider-Man 2,Tobey Maguire,Kirsten Dunst,Sam Raimi,Alvin Sargent,,Danny Elfman
31,200000000,"['Action', 'Adventure', 'Science Fiction']",68721,terrorist.war on terror.tennessee.malibu.marvel comic.superhero.based on comic book.tony stark.iron man.aftercreditsstinger.marvel cinematic universe.mandarin.3d.war machine.iron patriot.extremis,en,2013-04-18,1215439994,130.0,Iron Man 3,Robert Downey Jr.,Gwyneth Paltrow,Shane Black,Shane Black,,Brian Tyler
32,200000000,"['Family', 'Fantasy', 'Adventure']",12155,based on novel.fictional place.queen.fantasy.alice in wonderland.fantasy world.3d,en,2010-03-03,1025491110,108.0,Alice in Wonderland,Johnny Depp,Mia Wasikowska,Tim Burton,Linda Woolverton,,Danny Elfman
33,210000000,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",36668,mutant.marvel comic.based on comic book.superhuman.beast.cyclops.aftercreditsstinger,en,2006-05-24,459359555,104.0,X-Men: The Last Stand,Hugh Jackman,Halle Berry,Brett Ratner,Simon Kinberg,,John Powell
34,200000000,"['Animation', 'Family']",62211,monster.dormitory.games.animation.best friend.university.scary.aftercreditsstinger,en,2013-06-20,743559607,104.0,Monsters University,Billy Crystal,Helen Mirren,Dan Scanlon,Daniel Gerson,,Randy Newman
35,150000000,"['Science Fiction', 'Action', 'Adventure']",8373,egypt.sun.chaos.symbol.artifact.transformers.tank.robot.imax.duringcreditsstinger,en,2009-06-19,836297228,150.0,Transformers: Revenge of the Fallen,Shia LaBeouf,Megan Fox,Michael Bay,Ehren Kruger,,Steve Jablonsky
36,210000000,"['Science Fiction', 'Action', 'Adventure']",91314,sequel.alien.transformers.giant robot.robot.imax.transforming robot,en,2014-06-25,1091405097,165.0,Transformers: Age of Extinction,Mark Wahlberg,Nicola Peltz,Michael Bay,Ehren Kruger,,Steve Jablonsky
